thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.13333333333333333)],[np.float64(-0.25)],[1],[0],[0],[0.9468835000006948],['target'],0,0,0,0,0.0910491670074407,,5,0.07844729200587608,0.0910491670074407,0.0910491670074407,0.07845820800866932,1.0254432920046384,[np.float64(0.13333333333333333)],[np.float64(-0.25)],[1],[0],[0],[0.9468835000006948],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
1,0,1,[np.float64(-0.1111111111111111)],[np.float64(-0.3)],[1],[0],[0],[1.2230367500014836],['target'],1,0,1,0,1.053408916995977,,10,1.043903792000492,1.053408916995977,1.053408916995977,0.018247583997435868,2.266983124995022,[np.float64(-0.1111111111111111)],[np.float64(-0.3)],[1],[0],[0],[1.2230367500014836],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
2,0,2,[np.float64(0.5027777777777778)],[np.float64(0.3527777777777778)],[1],[0],[0],[1.307371749993763],['target'],2,0,2,0,2.28290270800062,,5,2.2758932080032537,2.28290270800062,2.28290270800062,0.008785500001977198,3.583336292009335,[np.float64(0.5027777777777778)],[np.float64(0.3527777777777778)],[1],[0],[0],[1.307371749993763],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
3,0,3,[np.float64(-0.4583333333333333)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.4561186250066385],['target'],3,0,3,0,3.602655666996725,,5,3.594731999997748,3.602655666996725,3.602655666996725,0.011261000006925315,5.05092200000945,[np.float64(-0.4583333333333333)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.4561186250066385],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
4,0,4,[np.float64(0.4625)],[np.float64(0.4305555555555556)],[1],[0],[0],[1.5869790419965284],['target'],4,0,4,0,5.073184791996027,,5,5.063845750002656,5.073184791996027,5.073184791996027,0.012772749993018806,6.65088724999805,[np.float64(0.4625)],[np.float64(0.4305555555555556)],[1],[0],[0],[1.5869790419965284],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
5,0,5,[np.float64(0.2388888888888889)],[np.float64(0.2569444444444444)],[1],[0],[0],[1.088210333007737],['target'],5,0,5,0,6.670655499998247,,5,6.661979958007578,6.670655499998247,6.670655499998247,0.010952708005788736,7.750260792003246,[np.float64(0.2388888888888889)],[np.float64(0.2569444444444444)],[1],[0],[0],[1.088210333007737],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
6,0,6,[np.float64(-0.0375)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.696412124991184],['target'],6,0,6,0,7.779544207995059,,10,7.769760958006373,7.779544207995059,7.779544207995059,0.01936195899907034,9.466218041998218,[np.float64(-0.0375)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.696412124991184],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
7,0,7,[np.float64(-0.3347222222222222)],[np.float64(-0.06944444444444445)],[1],[0],[0],[0.9660553749999963],['target'],7,0,7,0,9.493600707995938,,10,9.483856582999579,9.493600707995938,9.493600707995938,0.017497166991233826,10.449967583001126,[np.float64(-0.3347222222222222)],[np.float64(-0.06944444444444445)],[1],[0],[0],[0.9660553749999963],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
8,0,8,[np.float64(0.17083333333333334)],[np.float64(-0.08611111111111111)],[1],[0],[0],[0.975093624991132],['target'],8,0,8,0,10.46544695799821,,5,10.45872683300695,10.46544695799821,10.46544695799821,0.00863383398973383,11.433891374996165,[np.float64(0.17083333333333334)],[np.float64(-0.08611111111111111)],[1],[0],[0],[0.975093624991132],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
9,0,9,[np.float64(0.2722222222222222)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.8551734159991611],['target'],9,0,9,0,11.454902792000212,,5,11.445893958007218,11.454902792000212,11.454902792000212,0.01186720900295768,12.301128332997905,[np.float64(0.2722222222222222)],[np.float64(-0.1638888888888889)],[1],[0],[0],[0.8551734159991611],['target'],Saloni 2,001,2025-09-29_18h11.11.332,visual search task 1,,2025.1.1,120.45501836320676,2025-09-29 18h19.10.762819 +0530,
