thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.15138888888888888)],[np.float64(0.058333333333333334)],[1],[0],[0],[0.8027957919985056],['target'],0,0,0,0,0.04090158300823532,,10,0.028075458001694642,0.04090158300823532,0.04090158300823532,0.028087083002901636,0.830940500003635,[np.float64(-0.15138888888888888)],[np.float64(0.058333333333333334)],[1],[0],[0],[0.8027957919985056],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
1,0,1,[np.float64(0.42916666666666664)],[np.float64(-0.2708333333333333)],[1],[0],[0],[1.3961666250106646],['target'],1,0,1,0,0.8592203330044867,,10,0.8495176660071593,0.8592203330044867,0.8592203330044867,0.01841587500530295,2.2457336250081426,[np.float64(0.42916666666666664)],[np.float64(-0.2708333333333333)],[1],[0],[0],[1.3961666250106646],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
2,0,2,[np.float64(0.46944444444444444)],[np.float64(-0.03194444444444444)],[1],[0],[0],[1.123476958993706],['target'],2,0,2,0,2.2615097910020268,,5,2.2546595409949077,2.2615097910020268,2.2615097910020268,0.008794916997430846,3.378187624999555,[np.float64(0.46944444444444444)],[np.float64(-0.03194444444444444)],[1],[0],[0],[1.123476958993706],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
3,0,3,[np.float64(-0.4597222222222222)],[np.float64(-0.04722222222222222)],[1],[0],[0],[1.152790542008006],['target'],3,0,3,0,3.401872165995883,,10,3.3927408330055187,3.401872165995883,3.401872165995883,0.014461624989053234,4.54559908300871,[np.float64(-0.4597222222222222)],[np.float64(-0.04722222222222222)],[1],[0],[0],[1.152790542008006],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
4,0,4,[np.float64(-0.2152777777777778)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.7830891659978079],['target'],4,0,4,0,4.572092791000614,,10,4.562352666005609,4.572092791000614,4.572092791000614,0.016605666998657398,6.345495415996993,[np.float64(-0.2152777777777778)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.7830891659978079],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
5,0,5,[np.float64(0.4041666666666667)],[np.float64(0.42777777777777776)],[1],[0],[0],[1.148924082997837],['target'],5,0,5,0,6.372513041002094,,10,6.363116874999832,6.372513041002094,6.372513041002094,0.01749045800534077,7.512090500007616,[np.float64(0.4041666666666667)],[np.float64(0.42777777777777776)],[1],[0],[0],[1.148924082997837],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
6,0,6,[np.float64(0.4527777777777778)],[np.float64(0.14166666666666666)],[1],[0],[0],[1.008716791999177],['target'],6,0,6,0,7.528081833006581,,5,7.520987625000998,7.528081833006581,7.528081833006581,0.008770749991526827,8.529786665996653,[np.float64(0.4527777777777778)],[np.float64(0.14166666666666666)],[1],[0],[0],[1.008716791999177],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
7,0,7,[np.float64(0.09027777777777778)],[np.float64(0.42916666666666664)],[1],[0],[0],[1.0206557089986745],['target'],7,0,7,0,8.551113166002324,,5,8.542018749998533,8.551113166002324,8.551113166002324,0.0120804160105763,9.562738791006268,[np.float64(0.09027777777777778)],[np.float64(0.42916666666666664)],[1],[0],[0],[1.0206557089986745],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
8,0,8,[np.float64(0.19583333333333333)],[np.float64(-0.175)],[1],[0],[0],[1.7881924579996848],['target'],8,0,8,0,9.583623415994225,,5,9.574359250007547,9.583623415994225,9.583623415994225,0.011495042010210454,11.362611000004108,[np.float64(0.19583333333333333)],[np.float64(-0.175)],[1],[0],[0],[1.7881924579996848],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
9,0,9,[np.float64(0.2902777777777778)],[np.float64(0.19027777777777777)],[1],[0],[0],[0.9549009579932317],['target'],9,0,9,0,11.38368862500647,,5,11.3746663750062,11.38368862500647,11.38368862500647,0.011904125000000931,12.329639916002634,[np.float64(0.2902777777777778)],[np.float64(0.19027777777777777)],[1],[0],[0],[0.9549009579932317],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
10,0,10,[np.float64(-0.23055555555555557)],[np.float64(-0.013888888888888888)],[1],[0],[0],[1.0969012080022367],['target'],10,0,10,0,12.358745332996477,,10,12.348859416000778,12.358745332996477,12.358745332996477,0.019082375001744367,13.445804999995744,[np.float64(-0.23055555555555557)],[np.float64(-0.013888888888888888)],[1],[0],[0],[1.0969012080022367],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
11,0,11,[np.float64(-0.3347222222222222)],[np.float64(0.022222222222222223)],[1],[0],[0],[0.6924323330022162],['target'],11,0,11,0,13.461505750005017,,5,13.45433129099547,13.461505750005017,13.461505750005017,0.008418042008997872,14.146841291003511,[np.float64(-0.3347222222222222)],[np.float64(0.022222222222222223)],[1],[0],[0],[0.6924323330022162],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
12,0,12,[np.float64(0.04027777777777778)],[np.float64(0.2)],[1],[0],[0],[0.7946589159982977],['target'],12,0,12,0,14.179236833006144,,10,14.168845749998582,14.179236833006144,14.179236833006144,0.021853500002180226,14.96353387500858,[np.float64(0.04027777777777778)],[np.float64(0.2)],[1],[0],[0],[0.7946589159982977],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
13,0,13,[np.float64(-0.24583333333333332)],[np.float64(0.20972222222222223)],[1],[0],[0],[0.6173162499908358],['target'],13,0,13,0,14.987230415994418,,10,14.978499457996804,14.987230415994418,14.987230415994418,0.01485208299709484,15.595872250007233,[np.float64(-0.24583333333333332)],[np.float64(0.20972222222222223)],[1],[0],[0],[0.6173162499908358],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
14,0,14,[np.float64(-0.46944444444444444)],[np.float64(0.3138888888888889)],[1],[0],[0],[0.8840600419935072],['target'],14,0,14,0,15.620823290999397,,10,15.611660624999786,15.620823290999397,15.620823290999397,0.015665041995816864,16.495769250002922,[np.float64(-0.46944444444444444)],[np.float64(0.3138888888888889)],[1],[0],[0],[0.8840600419935072],['target'],Saloni,001,2025-09-29_18h05.53.161,visual search task 1,,2025.1.1,120.13058194395053,2025-09-29 18h06.00.323430 +0530,
