thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.05)],[np.float64(0.4166666666666667)],[1],[0],[0],[2.0866346250113565],['target'],0,0,0,0,0.04237566699157469,,10,0.029746041996986605,0.04237566699157469,0.04237566699157469,0.029760000004898757,2.116445459003444,[np.float64(0.05)],[np.float64(0.4166666666666667)],[1],[0],[0],[2.0866346250113565],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
1,0,1,[np.float64(0.0)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.0566372080065776],['target'],1,0,1,0,2.132616374990903,,5,2.1253061669995077,2.132616374990903,2.132616374990903,0.008714459007023834,3.1820190839935094,[np.float64(0.0)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.0566372080065776],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
2,0,2,[np.float64(-0.49583333333333335)],[np.float64(-0.10833333333333334)],[1],[0],[0],[0.9557517920038663],['target'],2,0,2,0,3.200913958993624,,5,3.1928895419987384,3.200913958993624,3.200913958993624,0.010738833007053472,4.148715666990029,[np.float64(-0.49583333333333335)],[np.float64(-0.10833333333333334)],[1],[0],[0],[0.9557517920038663],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
3,0,3,[np.float64(-0.11944444444444445)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.9152327089977916],['target'],3,0,3,0,4.1775975420023315,,10,4.167594500002451,4.1775975420023315,4.1775975420023315,0.01874337499612011,6.082881291993544,[np.float64(-0.11944444444444445)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.9152327089977916],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
4,0,4,[np.float64(0.09861111111111111)],[np.float64(0.46111111111111114)],[1],[0],[0],[1.6073985420080135],['target'],4,0,4,0,6.098456708990852,,5,6.091758916998515,6.098456708990852,6.098456708990852,0.008754790993407369,7.699235166990547,[np.float64(0.09861111111111111)],[np.float64(0.46111111111111114)],[1],[0],[0],[1.6073985420080135],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
5,0,5,[np.float64(0.2513888888888889)],[np.float64(0.45)],[1],[0],[0],[1.4374462499981746],['target'],5,0,5,0,7.720455208997009,,5,7.711610999991535,7.720455208997009,7.720455208997009,0.012227917002746835,9.149128499993822,[np.float64(0.2513888888888889)],[np.float64(0.45)],[1],[0],[0],[1.4374462499981746],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
6,0,6,[np.float64(0.013888888888888888)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.421442584003671],['target'],6,0,6,0,9.16833458399924,,5,9.160263500001747,9.16833458399924,9.16833458399924,0.01100025000050664,10.581760083994595,[np.float64(0.013888888888888888)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.421442584003671],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
7,0,7,[np.float64(-0.18333333333333332)],[np.float64(-0.46111111111111114)],[1],[0],[0],[1.2720356670033652],['target'],7,0,7,0,10.600386833990342,,5,10.592872916997294,10.600386833990342,10.600386833990342,0.010947625007247552,11.864963833999354,[np.float64(-0.18333333333333332)],[np.float64(-0.46111111111111114)],[1],[0],[0],[1.2720356670033652],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
8,0,8,[np.float64(0.02361111111111111)],[np.float64(0.4736111111111111)],[1],[0],[0],[1.4002082090009935],['target'],8,0,8,0,11.890888708992861,,10,11.881482374999905,11.890888708992861,11.890888708992861,0.016415959005826153,13.281731666997075,[np.float64(0.02361111111111111)],[np.float64(0.4736111111111111)],[1],[0],[0],[1.4002082090009935],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
9,0,9,[np.float64(0.1986111111111111)],[np.float64(-0.03333333333333333)],[1],[0],[0],[1.0171511669905158],['target'],9,0,9,0,13.307776000001468,,10,13.298325875002774,13.307776000001468,13.307776000001468,0.01647154199599754,14.315526749996934,[np.float64(0.1986111111111111)],[np.float64(-0.03333333333333333)],[1],[0],[0],[1.0171511669905158],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
10,0,10,[np.float64(-0.17222222222222222)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.8331682920106687],['target'],10,0,10,0,14.341336416997365,,10,14.33231316698948,14.341336416997365,14.341336416997365,0.01664204100961797,15.165535958993132,[np.float64(-0.17222222222222222)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.8331682920106687],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
11,0,11,[np.float64(0.47638888888888886)],[np.float64(-0.3013888888888889)],[1],[0],[0],[2.591553500009468],['target'],11,0,11,0,15.181476625002688,,5,15.174601083999733,15.181476625002688,15.181476625002688,0.008942000000388362,17.766224833991146,[np.float64(0.47638888888888886)],[np.float64(-0.3013888888888889)],[1],[0],[0],[2.591553500009468],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
12,0,12,[np.float64(0.2972222222222222)],[np.float64(0.31805555555555554)],[1],[0],[0],[1.8045028329943307],['target'],12,0,12,0,17.787499500002014,,5,17.77852645899111,17.787499500002014,17.787499500002014,0.01217424999049399,19.583101416996215,[np.float64(0.2972222222222222)],[np.float64(0.31805555555555554)],[1],[0],[0],[1.8045028329943307],['target'],saloni 3,001,2025-09-29_18h24.22.550,visual search task 1,,2025.1.1,119.73108397971737,2025-09-29 18h24.32.679422 +0530,
