thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.002777777777777778)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.438511166998069],['target'],0,0,0,0,0.03944883300573565,,5,0.028799708001315594,0.03944883300573565,0.03944883300573565,0.028810457995859906,2.467439458006993,[np.float64(0.002777777777777778)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.438511166998069],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
1,0,1,[np.float64(-0.1375)],[np.float64(0.47638888888888886)],[1],[0],[0],[2.70468929100025],['target'],1,0,1,0,2.5019695830123965,,10,2.4909024160006084,2.5019695830123965,2.5019695830123965,0.023230207996675745,5.195637583005009,[np.float64(-0.1375)],[np.float64(0.47638888888888886)],[1],[0],[0],[2.70468929100025],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
2,0,2,[np.float64(-0.24027777777777778)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.1995131659932667],['target'],2,0,2,0,5.223029208005755,,10,5.212362375008524,5.223029208005755,5.223029208005755,0.016606040997430682,6.411923583000316,[np.float64(-0.24027777777777778)],[np.float64(-0.044444444444444446)],[1],[0],[0],[1.1995131659932667],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
3,0,3,[np.float64(0.18333333333333332)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.3338182089937618],['target'],3,0,3,0,6.43762104101188,,10,6.428186541001196,6.43762104101188,6.43762104101188,0.016137124999659136,7.762052958001732,[np.float64(0.18333333333333332)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.3338182089937618],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
4,0,4,[np.float64(-0.1125)],[np.float64(-0.41944444444444445)],[1],[0],[0],[2.3993902910006],['target'],4,0,4,0,7.792315583006712,,10,7.779520333002438,7.792315583006712,7.792315583006712,0.01732087499112822,10.178971916000592,[np.float64(-0.1125)],[np.float64(-0.41944444444444445)],[1],[0],[0],[2.3993902910006],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
5,0,5,[np.float64(0.4125)],[np.float64(-0.39861111111111114)],[1],[0],[0],[2.2067310420097783],['target'],5,0,5,0,10.19621266600734,,5,10.189107833008165,10.19621266600734,10.19621266600734,0.009996250009862706,12.39590250000765,[np.float64(0.4125)],[np.float64(-0.39861111111111114)],[1],[0],[0],[2.2067310420097783],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
6,0,6,[np.float64(-0.19305555555555556)],[np.float64(-0.175)],[1],[0],[0],[1.7615574579976965],['target'],6,0,6,0,12.42847787500068,,10,12.418022541009123,12.42847787500068,12.42847787500068,0.021971583002596162,14.179620166003588,[np.float64(-0.19305555555555556)],[np.float64(-0.175)],[1],[0],[0],[1.7615574579976965],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
7,0,7,[np.float64(-0.05138888888888889)],[np.float64(0.4125)],[1],[0],[0],[2.215938041001209],['target'],7,0,7,0,14.205493291010498,,10,14.196282250006334,14.205493291010498,14.205493291010498,0.01654124999186024,16.412259375007125,[np.float64(-0.05138888888888889)],[np.float64(0.4125)],[1],[0],[0],[2.215938041001209],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
8,0,8,[np.float64(0.44166666666666665)],[np.float64(0.10555555555555556)],[1],[0],[0],[1.192469624991645],['target'],8,0,8,0,16.42689662500925,,5,16.420360083007836,16.42689662500925,16.42689662500925,0.007986583004822023,17.612896833001287,[np.float64(0.44166666666666665)],[np.float64(0.10555555555555556)],[1],[0],[0],[1.192469624991645],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
9,0,9,[np.float64(-0.25972222222222224)],[np.float64(0.19305555555555556)],[1],[0],[0],[1.3619145840057172],['target'],9,0,9,0,17.644506041004206,,10,17.63374983301037,17.644506041004206,17.644506041004206,0.020720083004562184,18.995719166006893,[np.float64(-0.25972222222222224)],[np.float64(0.19305555555555556)],[1],[0],[0],[1.3619145840057172],['target'],shrey,001,2025-09-28_19h22.44.240,visual search task 1,,2025.1.1,120.34913331558806,2025-09-28 19h22.52.337261 +0530,
