thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2763888888888889)],[np.float64(-0.03333333333333333)],[1],[0],[0],[5.296311749996676],['target'],0,0,0,0,0.08655691600142745,,10,0.05007012499845587,0.08655691600142745,0.08655691600142745,0.0500903330030269,5.346467041003052,[np.float64(-0.2763888888888889)],[np.float64(-0.03333333333333333)],[1],[0],[0],[5.296311749996676],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
1,0,1,[np.float64(-0.24722222222222223)],[np.float64(-0.42777777777777776)],[1],[0],[0],[2.3267071250011213],['target'],1,0,1,0,5.3764515000002575,,10,5.366138791003323,5.3764515000002575,5.3764515000002575,0.01943537499755621,7.692912083002739,[np.float64(-0.24722222222222223)],[np.float64(-0.42777777777777776)],[1],[0],[0],[2.3267071250011213],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
2,0,2,[np.float64(-0.4263888888888889)],[np.float64(0.1875)],[1],[0],[0],[1.4054269999978715],['target'],2,0,2,0,7.711568708000414,,5,7.70356891600386,7.711568708000414,7.711568708000414,0.010502124998311047,9.109080166002968,[np.float64(-0.4263888888888889)],[np.float64(0.1875)],[1],[0],[0],[1.4054269999978715],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
3,0,3,[np.float64(0.19305555555555556)],[np.float64(-0.04861111111111111)],[1],[0],[0],[1.4540520000009565],['target'],3,0,3,0,9.13139787500404,,5,9.121915625000838,9.13139787500404,9.13139787500404,0.012677750004513655,10.576057291000325,[np.float64(0.19305555555555556)],[np.float64(-0.04861111111111111)],[1],[0],[0],[1.4540520000009565],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
4,0,4,[np.float64(-0.3277777777777778)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.8584742919993005],['target'],4,0,4,0,10.612815915999818,,10,10.600254083001346,10.612815915999818,10.612815915999818,0.02402050000091549,12.458788583004207,[np.float64(-0.3277777777777778)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.8584742919993005],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
5,0,5,[np.float64(0.33055555555555555)],[np.float64(-0.37777777777777777)],[1],[0],[0],[2.8073987919997307],['target'],5,0,5,0,12.477979208000761,,5,12.469745583002805,12.477979208000761,12.477979208000761,0.010800124997331295,15.277219540999795,[np.float64(0.33055555555555555)],[np.float64(-0.37777777777777777)],[1],[0],[0],[2.8073987919997307],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
6,0,6,[np.float64(-0.3902777777777778)],[np.float64(-0.225)],[1],[0],[0],[3.8234505410000565],['target'],6,0,6,0,15.316478749999078,,10,15.303257500003383,15.316478749999078,15.316478749999078,0.025850666999758687,19.126756416000717,[np.float64(-0.3902777777777778)],[np.float64(-0.225)],[1],[0],[0],[3.8234505410000565],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
7,0,7,[np.float64(0.05277777777777778)],[np.float64(0.36527777777777776)],[1],[0],[0],[2.439777125000546],['target'],7,0,7,0,19.145389916004206,,5,19.137405790999765,19.145389916004206,19.145389916004206,0.01050754199968651,21.57727587500267,[np.float64(0.05277777777777778)],[np.float64(0.36527777777777776)],[1],[0],[0],[2.439777125000546],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
8,0,8,[np.float64(-0.14444444444444443)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.788445458994829],['target'],8,0,8,0,21.617259915998147,,10,21.604136624999228,21.617259915998147,21.617259915998147,0.026698749999923166,23.39263637499971,[np.float64(-0.14444444444444443)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.788445458994829],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
9,0,9,[np.float64(-0.39861111111111114)],[np.float64(0.28055555555555556)],[1],[0],[0],[3.1471935420049704],['target'],9,0,9,0,23.42406679099804,,10,23.413473583001178,23.42406679099804,23.42406679099804,0.020677082997281104,26.56072262499947,[np.float64(-0.39861111111111114)],[np.float64(0.28055555555555556)],[1],[0],[0],[3.1471935420049704],['target'],subhangi,001,2025-09-22_21h11.08.667,visual search task 1,,2025.1.1,118.98735902427555,2025-09-22 21h11.17.687255 +0530,
